,importance
torque_nm,0.6381229623569394
tool_wear_min,0.12824988989555222
air_temperature_k,0.12115957859010222
rotational_speed_rpm,0.03470875592515826
process_temperature_k,0.028651368846688903
type_l,0.026915913202900644
type_m,0.011565027563323546
type_h,0.010626503619334747
